在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
深圳的大街小巷悬挂了超过10万面国旗。	深圳的大街小巷悬挂了超过十万面国旗。
强化组织保障等6个方面，要求进一步营造全社会尊师重教的浓厚氛围。	强化组织保障等六个方面，要求进一步营造全社会尊师重教的浓厚氛围。
然而在中小企业超过90%的温州今年前三季度企业的研发投入占比位居浙江省第一。	然而在中小企业超过百分之九十的温州今年前三季度企业的研发投入占比位居浙江省第一。
如今在温州这样的产业创新综合体遍地开花，涵盖精密模具、印刷软件和信息智能仪器等32个领域。	如今在温州这样的产业创新综合体遍地开花，涵盖精密模具、印刷软件和信息智能仪器等三十二个领域。
企业每月就有10多款新产品上市。	企业每月就有十多款新产品上市。
今年前三季度温州技改投资规上企业研发高技术企业投资增速都超过20%。	今年前三季度温州技改投资规上企业研发高技术企业投资增速都超过百分之二十。
第4次修订的中国新闻工作者职业道德准则今天向社会公布。	第四次修订的中国新闻工作者职业道德准则今天向社会公布。
该准则共7条31款，突出指导性，强调实践性，体现时代性。	该准则共七条三十一款，突出指导性，强调实践性，体现时代性。
通知明确要以国家级贫困县，特别是14个集中连片特困区内的深度贫困县为重点，开展送文化下基层活动。	通知明确要以国家级贫困县，特别是十四个集中连片特困区内的深度贫困县为重点，开展送文化下基层活动。
通知要求所有国家级贫困县2020年上半年至少开展一场活动，基本实现全覆盖。	通知要求所有国家级贫困县二零二零年上半年至少开展一场活动，基本实现全覆盖。
2017年澳门被联合国评为创意美食之都。	二零一七年澳门被联合国评为创意美食之都。
全年700场的国际演出与展览，正在为澳门打造与世界接轨的艺术展示平台。	全年七百场的国际演出与展览，正在为澳门打造与世界接轨的艺术展示平台。
独具特色的文化为我们发展注入新动力。20年来，港澳旅客增长了4倍。	独具特色的文化为我们发展注入新动力。二十年来，港澳旅客增长了四倍。
2018年在澳门举办的会展数量超过1400场，成为澳门不断增长的新兴产业。	二零一八年在澳门举办的会展数量超过一千四百场，成为澳门不断增长的新兴产业。
今天是12月15号星期日。	今天是十二月十五号星期日。
本台消息12月16号出版的第24期求是杂志。	本台消息十二月十六号出版的第二十四期求是杂志。
每年有6500多名群众直接参与了防护类的建设管理。	每年有六千五百多名群众直接参与了防护类的建设管理。
雅江林业项目每年为群众增收2800多万元。	雅江林业项目每年为群众增收两千八百多万元。
在山谷间形成了一条平均宽度1800多米，长达160公里的绿色长廊。	在山谷间形成了一条平均宽度一八零零多米，长达一百六十公里的绿色长廊。
李谦，原名李荣光，1909年出生于湖南醴陵县城。	李谦，原名李荣光，一九零九年出生于湖南醴陵县城。
1924年春李谦和左权等同学离开家乡。	一九二四年春李谦和左权等同学离开家乡。
如今西藏山南市雅江沿岸建成防护林面积达45万亩。	如今西藏山南市雅江沿岸建成防护林面积达四十五万亩。
1929年李谦参与组织百色起义，任中国工农红军第七军一纵队司令员。	一九二九年李谦参与组织百色起义，任中国工农红军第七军一纵队司令员。
1930年4月底，他率部参加了攻克黔东荣江县城的战斗。	一九三零年四月底，他率部参加了攻克黔东荣江县城的战斗。
他指挥部队英勇反击，打退了8次进攻。在这次战斗中李谦壮烈牺牲，年仅22岁。	他指挥部队英勇反击，打退了八次进攻。在这次战斗中李谦壮烈牺牲，年仅二十二岁。
李陵事业成功获评湖南省2018届文明城市。	李陵事业成功获评湖南省二零一八届文明城市。
1931年2月3日，李谦带领的部队在广东乳源梅花村被国民党军包围。	一九三一年二月三日，李谦带领的部队在广东乳源梅花村被国民党军包围。
12月14号到20号，中央依法治国办将对河北、山西、浙江等8省展开实地督查。	十二月十四号到二十号，中央依法治国办将对河北、山西、浙江等八省展开实地督查。
在第4届世界考古论坛上，西汉海昏侯墓的考古发掘获得重大田野考古发现奖，成为唯一入选的中国项目。	在第四届世界考古论坛上，西汉海昏侯墓的考古发掘获得重大田野考古发现奖，成为唯一入选的中国项目。
全县长约74公里，共设15个客运站，设计时速140公里每小时。	全县长约七十四公里，共设十五个客运站，设计时速一百四十公里每小时。
迄今已出土1万余件套文物。	迄今已出土一万余件套文物。
诈骗团伙藏匿在越南现港、市，利用网络刷单进行诈骗，先后作案1400多起。	诈骗团伙藏匿在越南现港、市，利用网络刷单进行诈骗，先后作案一千四百多起。
中越两国警方统一行动，一举捣毁多个窝点，抓获涉案的三个团伙32人。	中越两国警方统一行动，一举捣毁多个窝点，抓获涉案的三个团伙三十二人。
文化节目一堂，好课今晚在央视综艺频道播出第5期。	文化节目一堂，好课今晚在央视综艺频道播出第五期。
经过近半年侦查，广西桂林警方日前将21名网络刷单诈骗嫌疑人从越南押解回国。	经过近半年侦查，广西桂林警方日前将二十一名网络刷单诈骗嫌疑人从越南押解回国。
针对伊拉克近几个月来持续的示威活动，联合国驻伊拉克援助团14号发表联合国安理会的媒体声明说。	针对伊拉克近几个月来持续的示威活动，联合国驻伊拉克援助团十四号发表联合国安理会的媒体声明说。
菲律宾南部棉兰老岛南达沃省今天下午发生里氏6.9级地震，随后又发生了多次余震。	菲律宾南部棉兰老岛南达沃省今天下午发生里氏六点九级地震，随后又发生了多次余震。
14号俄罗斯北极号核动力破冰船返回位于圣彼得堡的波罗的海造船厂码头，结束为期两天的首次航行试验。	十四号俄罗斯北极号核动力破冰船返回位于圣彼得堡的波罗的海造船厂码头，结束为期两天的首次航行试验。
明年5月北京号将正式首航。北京号是当前世界上动力最强的破冰船之一。	明年五月北京号将正式首航。北京号是当前世界上动力最强的破冰船之一。
联合国大会13号投票决定，将联合国近东巴勒斯坦难民救济和工程处的任务期限延长三年至2023年6月。	联合国大会十三号投票决定，将联合国近东巴勒斯坦难民救济和工程处的任务期限延长三年至二零二三年六月。
近东救济工程处主要负责向生活在约旦河西岸加沙地带等地的500多万巴勒斯坦难民提供人道主义救助。	近东救济工程处主要负责向生活在约旦河西岸加沙地带等地的五百多万巴勒斯坦难民提供人道主义救助。
农历11月20，欢迎收看新闻联播节目。	农历十一月二十，欢迎收看新闻联播节目。
到2020年我国现行标准下，农村贫困人口实现脱贫是党对人民的庄严承诺。	到二零二零年我国现行标准下，农村贫困人口实现脱贫是党对人民的庄严承诺。
今年8月，总书记曾到这里看望过大家。	今年八月，总书记曾到这里看望过大家。
他还报名修建了4座养殖暖棚。今年8月总书记曾来到他家做客。	他还报名修建了四座养殖暖棚。今年八月总书记曾来到他家做客。
依托脱贫产业的有力支撑，今年底富民新村还会有520户建档立卡贫困户脱贫摘帽。	依托脱贫产业的有力支撑，今年底富民新村还会有五百二十户建档立卡贫困户脱贫摘帽。
到2020年稳定实现农村贫困人口不愁吃不愁穿，义务教育基本医疗住房安全有保障。	到二零二零年稳定实现农村贫困人口不愁吃不愁穿，义务教育基本医疗住房安全有保障。
在夏邑县仅食用菌种植大棚就有2万多座，年产值超10亿元。	在夏邑县仅食用菌种植大棚就有二万多座，年产值超十亿元。
辐射带动贫困群众2800多户。	辐射带动贫困群众两千八百多户。
全县143个贫困村，5点万户贫困户基本实现村镇有产业后有项目。	全县一百四十三个贫困村，五点万户贫困户基本实现村镇有产业后有项目。
预计到今年底全国95%左右现行标准的贫困人口将实现脱贫。	预计到今年底全国百分之九十五左右现行标准的贫困人口将实现脱贫。
90%以上的贫困县将实现摘帽。	百分之九十以上的贫困县将实现摘帽。
本台消息，国务院总理李克强12月14号致电鲍里斯约翰逊，祝贺他连任英国首相。	本台消息，国务院总理李克强十二月十四号致电鲍里斯约翰逊，祝贺他连任英国首相。
不断促进两国民众的相互了解和友谊。巴赫塔泽祝贺新中国成立70周年，他表示。	不断促进两国民众的相互了解和友谊。巴赫塔泽祝贺新中国成立七十周年，他表示。
国务院总理李克强7月1号下午在大连会见世界经济论坛主席施瓦布。	国务院总理李克强七月一号下午在大连会见世界经济论坛主席施瓦布。
埃博拉德祝贺中国共产党成立98周年，对中国发展成就表示钦佩，他表示莫衷执政党理念相近。	埃博拉德祝贺中国共产党成立九十八周年，对中国发展成就表示钦佩，他表示莫衷执政党理念相近。
今天是中国共产党98岁华诞，各地干部群众通过重温入党誓词，诵读红色经典等多种活动。	今天是中国共产党九十八岁华诞，各地干部群众通过重温入党誓词，诵读红色经典等多种活动。
约170张图片，240多件文献资料，全面呈现早期共产主义运动在巴渝大地上的伟大实践。	约一百七十张图片，两百四十多件文献资料，全面呈现早期共产主义运动在巴渝大地上的伟大实践。
升旗仪式上午8点整准时举行。	升旗仪式上午八点整准时举行。
快评说98年风雨兼程，98年砥砺奋进，朝平暗阔催人进，风正扬帆当有为。	快评说九八年风雨兼程，九八年砥砺奋进，朝平暗阔催人进，风正扬帆当有为。
香港市民一号举行多姿多彩的活动，庆祝回归祖国的纪念日，4000多名香港市民来到香港维多利亚公园。	香港市民一号举行多姿多彩的活动，庆祝回归祖国的纪念日，四千多名香港市民来到香港维多利亚公园。
香港特区政府一号上午举行升旗仪式，庆祝香港回归祖国22周年。	香港特区政府一号上午举行升旗仪式，庆祝香港回归祖国二十二周年。
参加我爱香港主题活动，在现场他们摆出我爱香港的图案，表达对香港回归祖国22周年的喜悦心情。	参加我爱香港主题活动，在现场他们摆出我爱香港的图案，表达对香港回归祖国二十二周年的喜悦心情。
2018年3月黄文秀同志积极响应组织号召，到乐业县白泥村担任驻村第一书记。	二零一八年三月黄文秀同志积极响应组织号召，到乐业县白泥村担任驻村第一书记。
来自100多个国家和地区的1800多名嘉宾将围绕领导力4.0全球化新时代的成功之道展开200多场讨论。	来自一百多个国家和地区的一千八百多名嘉宾将围绕领导力四点零全球化新时代的成功之道展开两百多场讨论。
住房和城乡建设部今天表示，截止5月底，各地上报需要改造的城镇老旧小区17万个，涉及居民上亿人。	住房和城乡建设部今天表示，截止五月底，各地上报需要改造的城镇老旧小区十七万个，涉及居民上亿人。
为期两个月的全国铁路暑运今天启动，预计发送旅客7.2亿人次，同比增长8.1%。	为期两个月的全国铁路暑运今天启动，预计发送旅客七点二亿人次，同比增长百分之八点一。
埋头苦干带领88户418名贫困群众脱贫，全村贫困发生率下降20%以上。	埋头苦干带领八十八户四百一十八名贫困群众脱贫，全村贫困发生率下降百分之二十以上。
我国第一条利用现有高铁富余运力开行的公交化列车，海口市交列车今天通车运营，运营线路全长38公里。	我国第一条利用现有高铁富余运力开行的公交化列车，海口市交列车今天通车运营，运营线路全长三十八公里。
设有海口站、美兰站等6个站点。市郊列车实现了海口航空铁路运输的无缝衔接，同时串联起海口主城区。	设有海口站、美兰站等六个站点。市郊列车实现了海口航空铁路运输的无缝衔接，同时串联起海口主城区。
2019年6月17号凌晨，他在从百色返回乐业途中遭遇山洪不幸遇难。	二零一九年六月十七号凌晨，他在从百色返回乐业途中遭遇山洪不幸遇难。
献出了年仅30岁的宝贵生命。	献出了年仅三十岁的宝贵生命。
卡尼号此次进入黑海，是准备参加乌克兰和美国海风2019联合军演。	卡尼号此次进入黑海，是准备参加乌克兰和美国海风二零一九联合军演。
11家出版单位出版的30种学习习近平新时代中国特色社会主义思想，重点数字图书。	十一家出版单位出版的三十种学习习近平新时代中国特色社会主义思想，重点数字图书。
7月1号在14家网络传播平台上线。	七月一号在十四家网络传播平台上线。
专栏上线的30种重点数字图书，包括习近平总书记著作讲话单行本。	专栏上线的三十种重点数字图书，包括习近平总书记著作讲话单行本。
俄罗斯防御管理中心6月30号发布消息称，美国卡尼号驱逐舰与日前驶入黑海海域。	俄罗斯防御管理中心六月三十号发布消息称，美国卡尼号驱逐舰与日前驶入黑海海域。
14家网络传播平台设置了新时代新经典，学习习近平新时代中国特色社会主义思想重点数字图书专栏。	十四家网络传播平台设置了新时代新经典，学习习近平新时代中国特色社会主义思想重点数字图书专栏。
今天是党的98岁生日，各地共产党员不忘初心，用奋斗书写新时代的新篇章。	今天是党的九十八岁生日，各地共产党员不忘初心，用奋斗书写新时代的新篇章。
2017年兰考脱贫摘帽，此后发展设施农业，实现乡村振兴，成了兰考的新目标。	二零一七年兰考脱贫摘帽，此后发展设施农业，实现乡村振兴，成了兰考的新目标。
黔西南州33万多人异地搬迁任务宣告完成。	黔西南州三十三万多人异地搬迁任务宣告完成。
7月1号，中共中央政治局常委国务院总理李克强在辽宁大连考察。	七月一号，中共中央政治局常委国务院总理李克强在辽宁大连考察。
香港举行升旗仪式，开展我爱香港主题活动，庆祝回归22周年。	香港举行升旗仪式，开展我爱香港主题活动，庆祝回归二十二周年。
国务院总理李克强7月1号下午在大连会见保加利亚总统拉德夫。	国务院总理李克强七月一号下午在大连会见保加利亚总统拉德夫。
李克强表示，今年适逢中保建交70周年，两国关系经得起国际风云变幻考验，始终保持健康稳定发展。	李克强表示，今年适逢中保建交七十周年，两国关系经得起国际风云变幻考验，始终保持健康稳定发展。
国务院总理李克强7月1号下午在大连会见格鲁吉亚总理巴赫塔泽。	国务院总理李克强七月一号下午在大连会见格鲁吉亚总理巴赫塔泽。
今天是6月1号，星期六农历4月28，欢迎收看新闻联播节目。	今天是六月一号，星期六农历四月二十八，欢迎收看新闻联播节目。
今年是新中国成立70周年，在这个时刻开展不忘初心，牢记使命主题教育。	今年是新中国成立七十周年，在这个时刻开展不忘初心，牢记使命主题教育。
本台消息，根据国务院关税税则委员会2019年第三号公告，中国已于2019年6月1号起。	本台消息，根据国务院关税税则委员会二零一九年第三号公告，中国已于二零一九年六月一号起。
分别实施加征25%、20%、10%的关税。	分别实施加征百分之二十五、百分之二十、百分之十的关税。
对之前加征5%关税的税目商品仍实施加征5%的关税。	对之前加征百分之五关税的税目商品仍实施加征百分之五的关税。
去年美国对华大豆出口减了一半，今年一季度美国对华农产品出口同比下降60%。	去年美国对华大豆出口减了一半，今年一季度美国对华农产品出口同比下降百分之六十。
国务院关税税则委员会对原产于美国约600亿美元进口商品清单中的部分商品。	国务院关税税则委员会对原产于美国约六百亿美元进口商品清单中的部分商品。
美国弗吉尼亚州发生枪击事件已造成12人遇害。接下来请您收看详细内容。	美国弗吉尼亚州发生枪击事件已造成十二人遇害。接下来请您收看详细内容。
预计到2020年大豆种植面积将达1.4亿亩，总产量增至1900万吨。	预计到二零二零年大豆种植面积将达一点四亿亩，总产量增至一千九百万吨。
大豆出口同比下降80%。	大豆出口同比下降百分之八十。
通过改进饲料配方，每年可减少大豆需求1400万吨。	通过改进饲料配方，每年可减少大豆需求一千四百万吨。
本台消息在六一国际儿童节来临之际，国家主席习近平5月31号给澳门濠江中学。	本台消息在六一国际儿童节来临之际，国家主席习近平五月三十一号给澳门濠江中学。
作为一家在中国运营数10年的快递公司，联邦快递有义务配合中国有关部门的调查。	作为一家在中国运营数十年的快递公司，联邦快递有义务配合中国有关部门的调查。
中国有关部门6月1号宣布，由于美国联邦快递在中国发生未按明指投递快件行为。	中国有关部门六月一号宣布，由于美国联邦快递在中国发生未按明指投递快件行为。
文章说，中国政府从6月1号开始对价值约600亿美元的美国商品提高关税。	文章说，中国政府从六月一号开始对价值约六百亿美元的美国商品提高关税。
本台消息，国务院新闻办公室将于明天10点发布关于中美经贸磋商的中方立场白皮书。	本台消息，国务院新闻办公室将于明天十点发布关于中美经贸磋商的中方立场白皮书。
本台消息，新华社6月1号播发，风雨不动，安如山。今日是中国系列述评之期。	本台消息，新华社六月一号播发，风雨不动，安如山。今日是中国系列述评之期。
回归祖国。20年来，澳门发展日新月异，澳门同胞工作生活越来越好。	回归祖国。二十年来，澳门发展日新月异，澳门同胞工作生活越来越好。
从5月9号开始，在西藏第二大湖纳木错开展7次高空观测，并创下最高7003米的新纪录。	从五月九号开始，在西藏第二大湖纳木错开展七次高空观测，并创下最高七千零三米的新纪录。
新加坡总理李显龙5月31号在第18届香格里拉对话会上表示。	新加坡总理李显龙五月三十一号在第十八届香格里拉对话会上表示。
针对美国政府日前宣布对墨西哥加征关税，墨西哥总统洛佩斯当地时间5月31号表示。	针对美国政府日前宣布对墨西哥加征关税，墨西哥总统洛佩斯当地时间五月三十一号表示。
美国总统特朗普5月31号宣布，美国政府将于6月5号正式取消给予印度的普惠制待遇。	美国总统特朗普五月三十一号宣布，美国政府将于六月五号正式取消给予印度的普惠制待遇。
巴勒斯坦外交部5月31号发表声明，谴责以色列军警当天开枪打死两名巴勒斯坦人。	巴勒斯坦外交部五月三十一号发表声明，谴责以色列军警当天开枪打死两名巴勒斯坦人。
濠江中学创建于1932年，以爱国爱澳为社会培育人才为办学宗旨。	濠江中学创建于一九三二年，以爱国爱澳为社会培育人才为办学宗旨。
是澳门中小学生人数最多的学校，该校素有爱国主义传统，1949年10月1日新中国刚刚成立。	是澳门中小学生人数最多的学校，该校素有爱国主义传统，一九四九年十月一日新中国刚刚成立。
本台消息6月1号出版的第11期求是杂志，发表中共中央总书记国家主席。	本台消息六月一号出版的第十一期求是杂志，发表中共中央总书记国家主席。
习近平向第14届伊斯兰合作组织首脑会议致贺电。	习近平向第十四届伊斯兰合作组织首脑会议致贺电。
成立50年来，为促进伊斯兰国家合作作出重要贡献，我对此表示高度赞赏。习近平强调。	成立五十年来，为促进伊斯兰国家合作作出重要贡献，我对此表示高度赞赏。习近平强调。
总书记指出的4个迫切需要，深刻阐明了开展主题教育的重大意义。	总书记指出的四个迫切需要，深刻阐明了开展主题教育的重大意义。
中国对美部分进口商品加征关税于6月1号正式实施。	中国对美部分进口商品加征关税于六月一号正式实施。
第7届军运会在南昌采集火种并启动火炬传递。	第七届军运会在南昌采集火种并启动火炬传递。
而在这接近20万亿消费行为的贡献里，服务消费的占比又达到了49.4%。	而在这接近二十万亿消费行为的贡献里，服务消费的占比又达到了百分之四十九点四。
这8年，农村居民人均消费支出名义增速比城镇居民还跑快了2.3个百分点。	这八年，农村居民人均消费支出名义增速比城镇居民还跑快了二点三个百分点。
国家邮政局数据显示，上半年农村快递增速比城市高近10个百分点。	国家邮政局数据显示，上半年农村快递增速比城市高近十个百分点。
我们现在是人均GDP在1万美金左右。	我们现在是人均GDP在一万美金左右。
数据显示，消费已连续5年成为拉动中国经济增长的第一动力。	数据显示，消费已连续五年成为拉动中国经济增长的第一动力。
今年第7号台风为怕在海南文昌沿海登陆，受台风影响，广东、广西、海南等地有大到暴雨。	今年第七号台风为怕在海南文昌沿海登陆，受台风影响，广东、广西、海南等地有大到暴雨。
快评说7月30号召开的中共中央政治局会议要求要紧紧围绕巩固增强。	快评说七月三十号召开的中共中央政治局会议要求要紧紧围绕巩固增强。
92年来，人民军队历经硝烟战火，一路披荆斩棘，取得一个个辉煌胜利。	九二年来，人民军队历经硝烟战火，一路披荆斩棘，取得一个个辉煌胜利。
不忘初心，牢记使命主题教育部分中央指导组工作座谈会8月1号在京召开。	不忘初心，牢记使命主题教育部分中央指导组工作座谈会八月一号在京召开。
中央政治局第15次集体学习中央和国家机关党的建设工作会议。	中央政治局第十五次集体学习中央和国家机关党的建设工作会议。
内蒙古考察听取中央第三轮巡视综合情况汇报，中央全面深化改革委员会第9次会议的重要讲话精神。	内蒙古考察听取中央第三轮巡视综合情况汇报，中央全面深化改革委员会第九次会议的重要讲话精神。
全新的央视农业农村频道也于8月1日试验播出。	全新的央视农业农村频道也于八月一日试验播出。
今天是中国人民解放军建军92周年纪念日，第7届世界军人运动会在英雄城南昌采集火种并启动火炬传递。	今天是中国人民解放军建军九十二周年纪念日，第七届世界军人运动会在英雄城南昌采集火种并启动火炬传递。
中共中央总书记、国家主席中央军委主席习近平在庆祝建军90周年大会上指出。	中共中央总书记、国家主席中央军委主席习近平在庆祝建军九十周年大会上指出。
在经过全程约1千米共20磅的传递后，火炬传递启动仪式圆满结束。	在经过全程约一千米共二十磅的传递后，火炬传递启动仪式圆满结束。
第7届世界军人运动会将于2019年10月18日在中国武汉开幕。	第七届世界军人运动会将于二零一九年十月十八日在中国武汉开幕。
上午8:00火炬传递在八一广场启动，军运会火炬名称为和平荣光，象征着和平发展友谊。	上午八点火炬传递在八一广场启动，军运会火炬名称为和平荣光，象征着和平发展友谊。
1964年我国第一颗原子弹爆炸成功，向世界庄严宣告。	一九六四年我国第一颗原子弹爆炸成功，向世界庄严宣告。
这些废弃的厂房是我国最早的核武器研制基地221工厂。	这些废弃的厂房是我国最早的核武器研制基地两百二十一工厂。
1955年1月15号，中共中央书记处召开扩大会议。	一九五五年一月十五号，中共中央书记处召开扩大会议。
"当时有一种气概，25,000里长征我没赶上，可是这个我赶上了自然是非要做出来不可。"	当时有一种气概，二万五千里长征我没赶上，可是这个我赶上了自然是非要做出来不可。
1964年1月高农游235研制成功。5月1号，酒泉原子能联合企业加工出合格的原子弹部件。	一九六四年一月高农游两百三十五研制成功。五月一号，酒泉原子能联合企业加工出合格的原子弹部件。
6月6号，青海西北核武器研制基地成功进行了1:1模型爆轰试验。	六月六号，青海西北核武器研制基地成功进行了一:一模型爆轰试验。
1964年10月16号15:00，巨大的蘑菇云在新疆罗布泊荒漠腾空而起。	一九六四年十月十六号十五点，巨大的蘑菇云在新疆罗布泊荒漠腾空而起。
今天凌晨1:50前后，今年第7号台风为怕在海南文昌沿海登陆。	今天凌晨一:五十前后，今年第七号台风为怕在海南文昌沿海登陆。
登陆时强度为热带风暴级中心附近最大风力9级。	登陆时强度为热带风暴级中心附近最大风力九级。
98个乡镇区雨量超过100毫米，海口市市区最大降雨量达到342.2毫米。	九十八个乡镇区雨量超过一百毫米，海口市市区最大降雨量达到三百四十二点二毫米。
平山镇最深处水位达1.5米左右。	平山镇最深处水位达一点五米左右。
今天我国自主研制的大型客机，c919的第4架试飞飞机在上海浦东国际机场完成首次试验飞行。	今天我国自主研制的大型客机，c九一九的第四架试飞飞机在上海浦东国际机场完成首次试验飞行。
经过近24小时的紧张抢险，目前阿什河阿城区各段及支流的固低围堰及人员疏散等已完成。	经过近二十四小时的紧张抢险，目前阿什河阿城区各段及支流的固低围堰及人员疏散等已完成。
记者今天从工信部获悉，我国行政村光纤和4G网络通达比例均超过98%。	记者今天从工信部获悉，我国行政村光纤和四G网络通达比例均超过百分之九十八。
全国铁路暑运自7月1号启动以来，一个月累计发送旅客3.56亿人次，同比增长9.7%。	全国铁路暑运自七月一号启动以来，一个月累计发送旅客三点五六亿人次，同比增长百分之九点七。
中国东盟外长会7月31号在泰国曼谷举行。	中国东盟外长会七月三十一号在泰国曼谷举行。
7月份连续31天单日客流在1000万人次以上，其中高铁动车组列车客流量占比达到62.1%。	七月份连续三十一天单日客流在一千万人次以上，其中高铁动车组列车客流量占比达到百分之六十二点一。
2014年9月胡塞武装夺取也门首都萨，那2015年亚丁被也门政府定为临时首都。	二零一四年九月胡塞武装夺取也门首都萨，那二零一五年亚丁被也门政府定为临时首都。
联合国粮食及农业组织7月31号在意大利罗马举行总干事交接仪式。	联合国粮食及农业组织七月三十一号在意大利罗马举行总干事交接仪式。
伊朗外长扎里夫7月31号表示，美国对他实施的制裁对其本人及家人都没有任何影响。	伊朗外长扎里夫七月三十一号表示，美国对他实施的制裁对其本人及家人都没有任何影响。
这是自2008年12月以来，美联储首次降息符合市场预期。	这是自二零零八年十二月以来，美联储首次降息符合市场预期。
今天是8月1号星期四，农历7月初一。欢迎收看新闻联播节目。	今天是八月一号星期四，农历七月初一。欢迎收看新闻联播节目。
从那天开始我和战友们在野外一练就是10多个月。	从那天开始我和战友们在野外一练就是十多个月。
2019年上半年中国元首外交纪实。	二零一九年上半年中国元首外交纪实。
上半年消费对经济的贡献率达到60.1%，释放出有力的拉动作用。	上半年消费对经济的贡献率达到百分之六十点一，释放出有力的拉动作用。
消费的潜力在哪里？夜幕降临，北京市推出夜间经济13条。	消费的潜力在哪里？夜幕降临，北京市推出夜间经济十三条。
"数据显示上半年社会消费品零售总额达195,210亿元，同比名义增长8.4%。"	"数据显示上半年社会消费品零售总额达一百九十五,两百一十亿元，同比名义增长百分之八点四。"
为实现两个100年奋斗目标，实现中华民族伟大复兴的中国梦作出应有贡献。	为实现两个一百年奋斗目标，实现中华民族伟大复兴的中国梦作出应有贡献。
2019年春季学期，中央党校国家行政学院中青年干部培训班学员参加开班式。	二零一九年春季学期，中央党校国家行政学院中青年干部培训班学员参加开班式。
2013年到2018年全国两会期间。	二零一三年到二零一八年全国两会期间。
6年来，全军部队认真贯彻习主席重要讲话精神，牢固确立习近平强军思想的指导地位。	六年来，全军部队认真贯彻习主席重要讲话精神，牢固确立习近平强军思想的指导地位。
2013年3月11日，习主席在出席十二届全国人大一次会议，解放军代表团全体会议时鲜明提出。	二零一三年三月十一日，习主席在出席十二届全国人大一次会议，解放军代表团全体会议时鲜明提出。
2019年春季学期，中央党校国家行政学院中青年干部培训班，一号上午在中央党校开班。	二零一九年春季学期，中央党校国家行政学院中青年干部培训班，一号上午在中央党校开班。
2014年金秋在习主席亲自决策和领导下，人民军队重回古田召开全军政治工作会议。	二零一四年金秋在习主席亲自决策和领导下，人民军队重回古田召开全军政治工作会议。
2015年全国两会上习主席宣布，把军民融合发展上升为国家战略。	二零一五年全国两会上习主席宣布，把军民融合发展上升为国家战略。
政协第十三届全国委员会常务委员会第5次会议。	政协第十三届全国委员会常务委员会第五次会议。
研究部署2019年重点工作和重大政策举措。	研究部署二零一九年重点工作和重大政策举措。
来自国家航天局的消息，嫦娥4号着陆器已于今天上午7:52自主唤醒，按计划开始第3月昼后续工作。	来自国家航天局的消息，嫦娥四号着陆器已于今天上午七点五十二自主唤醒，按计划开始第三月昼后续工作。
此前玉兔二号月球车已于2月28号自主唤醒，目前行走正常。	此前玉兔二号月球车已于二月二十八号自主唤醒，目前行走正常。
为期40天的春运今天落幕，全国累计发送旅客近30亿人次，和去年基本持平。	为期四十天的春运今天落幕，全国累计发送旅客近三十亿人次，和去年基本持平。
据了解，去年8月非洲猪瘟疫情发生以来，公安部会同有关部门严打违法犯罪活动。	据了解，去年八月非洲猪瘟疫情发生以来，公安部会同有关部门严打违法犯罪活动。
截至目前各地破获涉非洲猪瘟刑事案件32起，查明涉案生猪1.5万多头。	截至目前各地破获涉非洲猪瘟刑事案件三十二起，查明涉案生猪一点五万多头。
2月28号美国著名的指数编制公司名胜宣布。	二月二十八号美国著名的指数编制公司名胜宣布。
其中铁路发送旅客4.1亿人次，增长7.4%，民航发送旅客7300万人次，增长12%。	其中铁路发送旅客四点一亿人次，增长百分之七点四，民航发送旅客七千三百万人次，增长百分之十二。
通过三步把中国A股纳入因子，从5%增加至20%。	通过三步把中国A股纳入因子，从百分之五增加至百分之二十。
巴基斯坦总理伊姆兰汉2月28号宣布为缓和同印度关系紧张状态。	巴基斯坦总理伊姆兰汉二月二十八号宣布为缓和同印度关系紧张状态。
我们党在中国这样一个有着近14亿人口的大国执政。	我们党在中国这样一个有着近十四亿人口的大国执政。
新中国成立70周年，是进行不忘初心，牢记使命教育的最好时间节点。	新中国成立七十周年，是进行不忘初心，牢记使命教育的最好时间节点。
全国政协十三届常委会第5次会议闭幕，汪洋主持并讲话。	全国政协十三届常委会第五次会议闭幕，汪洋主持并讲话。
今天是7月15号，星期一，农历6月13，欢迎收看新闻联播节目。	今天是七月十五号，星期一，农历六月十三，欢迎收看新闻联播节目。
总体平稳。6月份全国城镇调查失业率为5.1%，稳定在5%左右的水平。	总体平稳。六月份全国城镇调查失业率为百分之五点一，稳定在百分之五左右的水平。
从收入看，上半年全国居民人均可支配收入实际增长6.5%。	从收入看，上半年全国居民人均可支配收入实际增长百分之六点五。
1~6月份我国居民消费价格CPI延续了温和上涨的态势，工业生产者价格基本平稳。	一~六月份我国居民消费价格CPI延续了温和上涨的态势，工业生产者价格基本平稳。
上半年消费增长对经济增长的贡献率超过了60%。	上半年消费增长对经济增长的贡献率超过了百分之六十。
与此同时上半年社会领域高技术产业等投资都保持在10%以上，投资结构优化趋势明显。	与此同时上半年社会领域高技术产业等投资都保持在百分之十以上，投资结构优化趋势明显。
区域结构在优化。上半年中部地区规模以上工业增加值同比增长8.4%。	区域结构在优化。上半年中部地区规模以上工业增加值同比增长百分之八点四。
