TEXT	TEXT_TN	TYPE	NOTE
but the fact that the large-scale use of Europe's AAA credit is already designated as a temporary measure	 but the fact that the largescale use of Europe's AAA credit is already designated as one temporary measure 		
"Blockbuster was one of the oldest video rental companies and it was by far the largest with 60,000 employees and 8000 store spread across the u.s."	" Blockbuster was one of the oldest video rental companies and it was by far the largest with sixty,zero employees and 8zero store spread across the u dot s dot  "		
when Hitler launched the tirpitz on April the 1st 1939 it was worldwide news teenager Tony Iverson was mesmerised by the flickering images	 when Hitler launched the tirpitz on April the first one thousand nine hundred and thirty nine it was worldwide news teenager Tony Iverson was mesmerised by the flickering images 		
another one is a little more subtle the blade Bishop B4 just exchanging the bishop that is one of the key Defenders of black skin can have like go see 5 then he takes now because of the attack on F7 I have to take was night	 another one is one little more subtle the blade Bishop Bfour just exchanging the bishop that is one of the key Defenders of black skin can have like go see five then he takes now because of the attack on Fseven I have to take was night 		
two people one for my p.m. one from HP turned up in my office and told me I would like to standardize C++	 two people one for my p dot m dot  one from HP turned up in my office and told me I would like to standardize C++ 		
it hits a maximum of 1500 horsepower and can reach a top speed of 43 mph	 it hits one maximum of one thousand five hundred horsepower and can reach one top speed of forty three mph 		
the newer m1a2 Abrams main battle tank runs on the same frame but features depleted uranium armor for enhanced protection	 the newer moneatwo Abrams main battle tank runs on the same frame but features depleted uranium armor for enhanced protection 		
while there are several models of the cougar mine-resistant ambush-protected Mr AP vehicle the 6x6 variant with an automatic grenade launcher	 while there are several models of the cougar mineresistant ambushprotected Mr AP vehicle the sixxsix variant with an automatic grenade launcher 		
and m240 7.62 mm machine gun	 and mtwo hundred and forty seven point six two  mm machine gun 		
in the first quarter of 2020 when coronavirus brought America to a standstill Blue Apron customer orders were up a bit though they didn't Spike like the markets hoped the company still lost 20 million dollars but that was a little better than the previous quarter	in the first quarter of two thousand and twenty when coronavirus brought America to a standstill Blue Apron customer orders were up a bit though they did not Spike like the markets hoped the company still lost twenty million dollars but that was a little better than the previous quarter	6	years->num
you know we can't specifically guide to what could happen in the second half of the year because of all the uncertainties	you know we can not specifically guide to what could happen in the second half of the year because of all the uncertainties	3	
you know we do believe that they'll continue to be some positive effects as we move out of Q2	you know we do believe that they will continue to be some positive effects as we move out of Q two	2	
yeah the house is 1740 so older than the United States of America	yeah the house is one thousand seven hundred and forty so older than the United States of America	6	years->num
my name is Scarlet Lewis and I'm the founder of the Jesse Lewis Choose Love movement	my name is Scarlett Lewis and I am the founder of the Jesse Lewis Choose Love movement	4	name
and following that I realized that there isn't a day out there	and following that I realized that there is not a day out there	3	
and one of the cabinets has chalkboard paint on it and on it is a message from Jessie	and one of the cabinets has chalkboard paint on it and on it is a message from Jessy	4	
and I'm Cory Turner and education reporter and the father of two boys	and I am Corey Turner and education reporter and the father of two boys	4	
"which offers over 13,000 online courses to help you achieve your goals"	which offers over thirteen thounsand online courses to help you achieve your goals	2	"include','"
we think oh you're a good kid you're going to be kind	we think you are a good kid you are going to be kind	3	
in fact about 80% of children believed their parents were more concerned about good grades and their kids careers than whether they were caring towards others	in fact about eighty percent of children believed their parents were more concerned about good grades and their kids careers than whether they were caring towards others	2	
80% and the parents on the other hand they got surveyed to	eighty percent and the parents on the other hand they got surveyed to	2	
studies going back to the late 1990s have found infants as young as 3 months old prefer a kind or helper puppet over a mean aggressive character	studies going back to the late nineteen nineties have found infants as young as three months old prefer a kind or helper puppet over a mean aggressive character	2	
um for her it includes the courage to reach out to a hurting friend on the playground or or a child you don't even know	for her it includes the courage to reach out to a hurting friend on the playground or or a child you do not even know	5	
and I remember in my early 20s thinking that's absurd	and I remember in my early twenties thinking that's absurd	2	
if anything Scarlet talks even more about the other side of an apology forgiveness	if anything Scarlett talks even more about the other side of an apology forgiveness	4	
that's our takeaway number 6 kindness grows with sunlight	that's our takeaway number six kindness grows with sunlight	2	
we come to our final take-away number 7 kindness requires	we come to our final takeaway number seven kindness requires	2	
hmm		5	
remember parents and teachers alike the old sing-songy sorry it's not good enough	remember parents and teachers alike the old singsongy sorry it's not good enough	5	
and take away number 6 kindness takes practice	and take away number six kindness takes practice	2	
and if you like what you hear make sure to check out our other life kit guides at npr.org life	and if you like what you hear make sure to check out our other life kit guides at npr dot org life	7	
Meghan Keane is the managing producer	Megan Kane is the managing producer	4	
1965 a darkened Street Corner in Selma Alabama and a murder	one thousand nine hundred and sixty five a darkened Street Corner in Selma Alabama and a murder	6	
he then became Public Service Ombudsman for Wales between 2008 and 13	he then became Public Service Ombudsman for Wales between two thousand and eight and thirteen	6	
let's say they contributed to a very happy school-days but the rest of my childhood was very enjoyable so	let's say they contributed to a very happy school days but the rest of my childhood was very enjoyable so	7	
now my current initiative investigation is looking at the situation of people under 65 living in nursing homes	now my current initiative investigation is looking at the situation of people under sixty five living in nursing homes	2	
I think more people will work from home as a consequence of what we've learnt during the crisis	I think more people will work from home as a consequence of what we have learned during the crisis	4	
so that there is um an objective set of internationally recognized standards against which you are measuring a particular Ombudsman office	so that there is an objective set of internationally recognized standards against which you are measuring a particular Ombudsman office	3	
so two final questions how have you Peter Tindall reacted to working remotely being at home with your family	so two final questions how have you Peter Tyndall reacted to working remotely being at home with your family	4	
from The New York Times magazine I'm Nicole Hanna Jones this is 1619	from The New York Times magazine I am Nicole Hanna Jones this is one thousand six hundred and nineteen	6	
and he said what do you wanna listen to	and he said what do you want to listen to	4	
we're talking about music made between the years of I don't know I would say like 1975 to about 1983 things like	we are talking about music made between the years of I do not know I would say like one thousand nine hundred and seventy five to about one thousand nine hundred and eighty three things like	6	
the great doo-wop harmonies of the 50s and 60s	the great doowop harmonies of the fifties and sixties	6	
some of the oldest recordings we have of black American Music are from the 1930s	some of the oldest recordings we have of black American Music are from the nineteen thirties	6	
because show this is in the 1830s look like this	because show this is in the eighteen thirties look like this	6	
this is the I Want to Hold Your Hand of 1851	this is the I Want to Hold Your Hand of one thousand eight hundred and fifty one	6	
by the time you get to the 20th century Minstrel C is still with us it is the basis upon which American movies are built this country's first movie Blockbuster	by the time you get to the twentieth century Minstrel C is still with us it is the basis upon which American movies are built this country's first movie Blockbuster	2	
you've black musicians thinking about how to move not only music forward but American culture forward	you have black musicians thinking about how to move not only music forward but American culture forward	3	
"a criminal defense attorney from Houston Texas who lost only 53 of the 1,500 cases where clients of his face the death penalty with only one of those losses resulting in an actual"	a criminal defense attorney from Houston Texas who lost only fifty three of the one thounsand five hundred cases where clients of his face the death penalty with only one of those losses resulting in an actual	2	
the Buffalo Valley area about 60 miles east of Nashville was a real poor area to be born in 1911	the Buffalo Valley area about sixty miles east of Nashville was a real poor area to be born in one thousand nine hundred and eleven	6	
when a 16 years old gym Denny got hired to work the mail room of WSM radios parent company he must have seen it as an opportunity to make something out of himself	when a sixteen years old gym Denny got hired to work the mail room of WSM radios parent company he must have seen it as an opportunity to make something out of himself	2	
you're listening to cocaine and rhinestones the podcast about 20th century country music and the lives of those who gave it to us	you are listening to cocaine and rhinestones the podcast about twentieth century country music and the lives of those who gave it to us	3	
as far as I can tell here's the truth about this one	as far as I can tell here is the truth about this one	3	
crisp Texas is a ghost town now Ernest Tubb was born there in 1914 into a family of sharecroppers like most sharecroppers children Earnest grew up working on farms all over the area	crisp Texas is a ghost town now Ernest Tubb was born there in one thousand nine hundred and fourteen into a family of sharecroppers like most sharecroppers children Earnest grew up working on farms all over the area	6	
Earnest was more than happy to work hard if it kept him moving towards the life of his hero Jimmy Rodgers	Earnest was more than happy to work hard if it kept him moving towards the life of his hero Jimmy Rogers	4	
it's close to 5:30 in the morning people are starting to show up for work	it's close to five thirty in the morning people are starting to show up for work	6	
first of all the source was Earnest hubs estranged wife next Earnest died owning 70% of the Ernest Tubb Record Shop which had multiple locations running and was very profitable at that time he was not a broke man	first of all the source was Earnest hubs estranged wife next Earnest died owning seventy percent of the Ernest Tubb Record Shop which had multiple locations running and was very profitable at that time he was not a broke man	7	
it's a little hard to summarize the partnership between Daveed and Raphael because as best friends and creative collaborators they've done so much over the years together	it is a little hard to summarise the partnership between David and Rafael because as best friends and creative collaborators they have done so much over the years together	3	
we just made music until the sun came up and like began the ritual that day of like going to the car at 8:00 a.m.	we just made music until the sun came up and like began the ritual that day of like going to the car at eight'o clock AM	6	
Zack McNeese Partners is a MailChimp podcast made in partnership with radio topia	Zach McNees Partners is a MailChimp podcast made in partnership with radio topia	4	
explore exclusive offers on the XC60 during the Volvo summer safely savings event visit Volvo cars.com us to learn more	explore exclusive offers on the XC sixty during the Volvo summer safely savings event visit Volvo cars dot com us to learn more	7	
that's convincing pale blonde and her face is very well maintained	that's convincing pale blond and her face is very well maintained	4	
this is the Sterling affairs from 3430 podcasts and The Undefeated I'm Ramona Shelburne	this is the Sterling affairs from three thousand four hundred and thirty podcasts and The Undefeated I am Ramona Shelburne	2	
Catherine Baumann is one of Shelly's best friends and a longtime Clippers fan	Katherine Baumann is one of Shelly's best friends and a longtime Clippers fan	4	
find your pair at all birds.com today	find your pair at all birds dot com today	7	
on April 9th 2014 a Clippers executive assistant texted V on behalf of Donald	on April ninth two thousand and fourteen a Clippers executive assistant texted V on behalf of Donald	6	
TMZ dropped this story at 10:00 p.m. Pacific time on a Friday night April 25 2014	TMZ dropped this story at ten o'clock PM dot  Pacific time on a Friday night April twenty fifth two thousand and fourteen	6	
Facebook's had 15 months of quote fresh hell but 2.1 billion still use it or Instagram or Whatsapp or messenger every day	Facebook's had fifteen months of quote fresh hell but two point one  billion still use it or Instagram or Whatsapp or messenger every day	2	
you'd be doing that at speeds 10 times slower than the slowest 4G cell phone connection set it and forget it because it can take all night	you would be doing that at speeds ten times slower than the slowest four G cell phone connection set it and forget it because it can take all night		
rash of Instagram filters like what dog are you or what cake are you I'm certainly a Battenberg	rash of Instagram filters like what dog are you or what cake are you I am certainly a Battenburg	4	
the public understanding of statistics and risk and so what I have done since I've had that job the last eight years 	the public understanding of statistics and risk and so what I have done since I have had that job the last 8 years	2	
"I'm trying to go back to the drug company to renegotiate of Christ's example between 20,000 and 30,000 "	I am trying to go back to the drug company to renegotiate of Christ's example between twenty thousand and thirty thousand 	2	
hi I'm Rob director of research at 80000 hours today I'm speaking with Miles Brundage	hi I am Rob director of research at eighty thousand hours today I am speaking with Miles Brundage	2	
ah there's going to be a steady increase in the the the floor of the skill level as these A I Technologies	there is going to be a steady increase in the the the floor of the skill level as these AI Technologies	8	
so there's been a little bit of work for example by Armstrong et al	so there's been a little bit of work for example by Armstrong at all	4	
but it's I still think that there's a lot of room for	but it is I still think that there is a lot of room for	3	
they're most suited for	they are most suited for	3	
I think they said we gotta get back in this market because pickups are still hot in this country	I think they said we got to get back in this market because pickups are still hot in this country	3	
that's what I mean you can oh yeah but anyway either way I drove it and say how does it dry drove it last night and I was pleased actually	that is what I mean you can yeah but anyway either way I drove it and say how does it dry drove it last night and I was pleased actually	5	
the the new RAV4 hybrid is actually going to have the same hybrid system that they've been using this hybrid system since the first Highlander Hybrid	the the new RAV four hybrid is actually going to have the same hybrid system that they have been using this hybrid system since the first Highlander Hybrid	3	
in late November 2019 someone it is not yet known who ate a wild animal that by chance carried the novel Coronavirus	in late November two thousand and nineteen someone it is not yet known who ate a wild animal that by chance carried the novel Coronavirus	6	
the location selected was previously just an open field about 14 miles or 22 km from Central Wuhan	the location selected was previously just an open field about fourteen miles or twenty two kilometers from Central Wuhan	4	
that involved first cutting down all the trees and Shrubbery and then perfectly levelling the ground	that involved first cutting down all the trees and Shrubbery and then perfectly leveling the ground	4	
on the bottom and an 8 inch or 20 cm layer of sand was placed then what's referred to as a geotextile layer	on the bottom and an eight inch or twenty centimeter layer of sand was placed then what is referred to as a geotextile layer	4	
the first building element started coming together on Monday January 27th just four days after the project broke ground	the first building element started coming together on Monday January twenty seventh just four days after the project broke ground	6	
over the 31st of January and 1st and 2nd of February the final areas of the complex 	over the thirty first of January and first and second of February the final areas of the complex	6	
exhibition centres were turned into hospitals as well	exhibition centers were turned into hospitals as well	4	
so the address is four five six Main Street in this campaign 	so the address is four hundred and fifty six Main Street in this campaign 	2	
ok so come on over here let's say it's 9:30 a.m. they put in their phone numbe	okay so come on over here let us say it is nine thirty AM dot  they put in their phone number 	4	
so if you head over to speedtest.net or you can download the app for your iPhone or your Android device and run a speed test for the internet connection that you're connected to	so if you head over to speedtest dot net or you can download the app for your iPhone or your Android device and run a speed test for the internet connection that you are connected to	7	
and you want to make sure that ideally you've got at least 2 to 2.5 megabits per second upload	and you want to make sure that ideally you have got at least two to two point five  megabits per second upload	2	
including one Facebook Channel they also have a $9.99 per month plan which gives you up to 10 publishing locations	including one Facebook Channel they also have a nine point nine nine  dollars per month plan which gives you up to ten publishing locations		
this is just so much more a part of the culture than it was 10 15 years ago	this is just so much more a part of the culture than it was ten fifteen years ago		
I think that might've been the first time we saw Jacob like he has this kind of like flat exterior when he's playing that	I think that might have been the first time we saw Jacob like he has this kind of like flat exterior when he's playing that		
 that you would've kind to do that	that you would have time to do that		
