在2014年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。	在二零一四年的时候呢开始这个做这个数字货币的这个项目，成立了项目组。
本台消息6月1号出版的第11期求是杂志，发表中共中央总书记国家主席。	本台消息六月一号出版的第十一期求是杂志，发表中共中央总书记国家主席。
习近平向第14届伊斯兰合作组织首脑会议致贺电。	习近平向第十四届伊斯兰合作组织首脑会议致贺电。
成立50年来，为促进伊斯兰国家合作作出重要贡献，我对此表示高度赞赏。习近平强调。	成立五十年来，为促进伊斯兰国家合作作出重要贡献，我对此表示高度赞赏。习近平强调。
总书记指出的4个迫切需要，深刻阐明了开展主题教育的重大意义。	总书记指出的四个迫切需要，深刻阐明了开展主题教育的重大意义。
中国对美部分进口商品加征关税于6月1号正式实施。	中国对美部分进口商品加征关税于六月一号正式实施。
第7届军运会在南昌采集火种并启动火炬传递。	第七届军运会在南昌采集火种并启动火炬传递。
而在这接近20万亿消费行为的贡献里，服务消费的占比又达到了49.4%。	而在这接近二十万亿消费行为的贡献里，服务消费的占比又达到了百分之四十九点四。
这8年，农村居民人均消费支出名义增速比城镇居民还跑快了2.3个百分点。	这八年，农村居民人均消费支出名义增速比城镇居民还跑快了二点三个百分点。
国家邮政局数据显示，上半年农村快递增速比城市高近10个百分点。	国家邮政局数据显示，上半年农村快递增速比城市高近十个百分点。
我们现在是人均GDP在1万美金左右。	我们现在是人均GDP在一万美金左右。
数据显示，消费已连续5年成为拉动中国经济增长的第一动力。	数据显示，消费已连续五年成为拉动中国经济增长的第一动力。
今年第7号台风为怕在海南文昌沿海登陆，受台风影响，广东、广西、海南等地有大到暴雨。	今年第七号台风为怕在海南文昌沿海登陆，受台风影响，广东、广西、海南等地有大到暴雨。
快评说7月30号召开的中共中央政治局会议要求要紧紧围绕巩固增强。	快评说七月三十号召开的中共中央政治局会议要求要紧紧围绕巩固增强。
92年来，人民军队历经硝烟战火，一路披荆斩棘，取得一个个辉煌胜利。	九二年来，人民军队历经硝烟战火，一路披荆斩棘，取得一个个辉煌胜利。
不忘初心，牢记使命主题教育部分中央指导组工作座谈会8月1号在京召开。	不忘初心，牢记使命主题教育部分中央指导组工作座谈会八月一号在京召开。
中央政治局第15次集体学习中央和国家机关党的建设工作会议。	中央政治局第十五次集体学习中央和国家机关党的建设工作会议。
内蒙古考察听取中央第三轮巡视综合情况汇报，中央全面深化改革委员会第9次会议的重要讲话精神。	内蒙古考察听取中央第三轮巡视综合情况汇报，中央全面深化改革委员会第九次会议的重要讲话精神。
全新的央视农业农村频道也于8月1日试验播出。	全新的央视农业农村频道也于八月一日试验播出。
今天是中国人民解放军建军92周年纪念日，第7届世界军人运动会在英雄城南昌采集火种并启动火炬传递。	今天是中国人民解放军建军九十二周年纪念日，第七届世界军人运动会在英雄城南昌采集火种并启动火炬传递。
中共中央总书记、国家主席中央军委主席习近平在庆祝建军90周年大会上指出。	中共中央总书记、国家主席中央军委主席习近平在庆祝建军九十周年大会上指出。
在经过全程约1千米共20磅的传递后，火炬传递启动仪式圆满结束。	在经过全程约一千米共二十磅的传递后，火炬传递启动仪式圆满结束。
第7届世界军人运动会将于2019年10月18日在中国武汉开幕。	第七届世界军人运动会将于二零一九年十月十八日在中国武汉开幕。
上午8:00火炬传递在八一广场启动，军运会火炬名称为和平荣光，象征着和平发展友谊。	上午八:火炬传递在八一广场启动，军运会火炬名称为和平荣光，象征着和平发展友谊。
1964年我国第一颗原子弹爆炸成功，向世界庄严宣告。	一九六四年我国第一颗原子弹爆炸成功，向世界庄严宣告。
这些废弃的厂房是我国最早的核武器研制基地221工厂。	这些废弃的厂房是我国最早的核武器研制基地两百二十一工厂。
1955年1月15号，中共中央书记处召开扩大会议。	一九五五年一月十五号，中共中央书记处召开扩大会议。
当时有一种气概，25,000里长征我没赶上，可是这个我赶上了自然是非要做出来不可。	当时有一种气概，二十五,里长征我没赶上，可是这个我赶上了自然是非要做出来不可。
1964年1月高农游235研制成功。5月1号，酒泉原子能联合企业加工出合格的原子弹部件。	一九六四年一月高农游两百三十五研制成功。五月一号，酒泉原子能联合企业加工出合格的原子弹部件。
6月6号，青海西北核武器研制基地成功进行了1:1模型爆轰试验。	六月六号，青海西北核武器研制基地成功进行了一:一模型爆轰试验。
1964年10月16号15:00，巨大的蘑菇云在新疆罗布泊荒漠腾空而起。	一九六四年十月十六号十五:，巨大的蘑菇云在新疆罗布泊荒漠腾空而起。
今天凌晨1:50前后，今年第7号台风为怕在海南文昌沿海登陆。	今天凌晨一:五十前后，今年第七号台风为怕在海南文昌沿海登陆。
登陆时强度为热带风暴级中心附近最大风力9级。	登陆时强度为热带风暴级中心附近最大风力九级。
98个乡镇区雨量超过100毫米，海口市市区最大降雨量达到342.2毫米。	九十八个乡镇区雨量超过一百毫米，海口市市区最大降雨量达到三百四十二点二毫米。
平山镇最深处水位达1.5米左右。	平山镇最深处水位达一点五米左右。
今天我国自主研制的大型客机，c919的第4架试飞飞机在上海浦东国际机场完成首次试验飞行。	今天我国自主研制的大型客机，c九百一十九的第四架试飞飞机在上海浦东国际机场完成首次试验飞行。
经过近24小时的紧张抢险，目前阿什河阿城区各段及支流的固低围堰及人员疏散等已完成。	经过近二十四小时的紧张抢险，目前阿什河阿城区各段及支流的固低围堰及人员疏散等已完成。
记者今天从工信部获悉，我国行政村光纤和4G网络通达比例均超过98%。	记者今天从工信部获悉，我国行政村光纤和四G网络通达比例均超过百分之九十八。
全国铁路暑运自7月1号启动以来，一个月累计发送旅客3.56亿人次，同比增长9.7%。	全国铁路暑运自七月一号启动以来，一个月累计发送旅客三点五六亿人次，同比增长百分之九点七。
中国东盟外长会7月31号在泰国曼谷举行。	中国东盟外长会七月三十一号在泰国曼谷举行。
7月份连续31天单日客流在1000万人次以上，其中高铁动车组列车客流量占比达到62.1%。	七月份连续三十一天单日客流在一千万人次以上，其中高铁动车组列车客流量占比达到百分之六十二点一。
2014年9月胡塞武装夺取也门首都萨，那2015年亚丁被也门政府定为临时首都。	二零一四年九月胡塞武装夺取也门首都萨，那二零一五年亚丁被也门政府定为临时首都。
联合国粮食及农业组织7月31号在意大利罗马举行总干事交接仪式。	联合国粮食及农业组织七月三十一号在意大利罗马举行总干事交接仪式。
伊朗外长扎里夫7月31号表示，美国对他实施的制裁对其本人及家人都没有任何影响。	伊朗外长扎里夫七月三十一号表示，美国对他实施的制裁对其本人及家人都没有任何影响。
这是自2008年12月以来，美联储首次降息符合市场预期。	这是自二零零八年十二月以来，美联储首次降息符合市场预期。
今天是8月1号星期四，农历7月初一。欢迎收看新闻联播节目。	今天是八月一号星期四，农历七月初一。欢迎收看新闻联播节目。
从那天开始我和战友们在野外一练就是10多个月。	从那天开始我和战友们在野外一练就是十多个月。
2019年上半年中国元首外交纪实。	二零一九年上半年中国元首外交纪实。
上半年消费对经济的贡献率达到60.1%，释放出有力的拉动作用。	上半年消费对经济的贡献率达到百分之六十点一，释放出有力的拉动作用。
消费的潜力在哪里？夜幕降临，北京市推出夜间经济13条。	消费的潜力在哪里？夜幕降临，北京市推出夜间经济十三条。
数据显示上半年社会消费品零售总额达195,210亿元，同比名义增长8.4%。	数据显示上半年社会消费品零售总额达一百九十五,两百一十亿元，同比名义增长百分之八点四。
为实现两个100年奋斗目标，实现中华民族伟大复兴的中国梦作出应有贡献。	为实现两个一百年奋斗目标，实现中华民族伟大复兴的中国梦作出应有贡献。
2019年春季学期，中央党校国家行政学院中青年干部培训班学员参加开班式。	二零一九年春季学期，中央党校国家行政学院中青年干部培训班学员参加开班式。
2013年到2018年全国两会期间。	二零一三年到二零一八年全国两会期间。
6年来，全军部队认真贯彻习主席重要讲话精神，牢固确立习近平强军思想的指导地位。	六年来，全军部队认真贯彻习主席重要讲话精神，牢固确立习近平强军思想的指导地位。
2013年3月11日，习主席在出席十二届全国人大一次会议，解放军代表团全体会议时鲜明提出。	二零一三年三月十一日，习主席在出席十二届全国人大一次会议，解放军代表团全体会议时鲜明提出。
2019年春季学期，中央党校国家行政学院中青年干部培训班，一号上午在中央党校开班。	二零一九年春季学期，中央党校国家行政学院中青年干部培训班，一号上午在中央党校开班。
2014年金秋在习主席亲自决策和领导下，人民军队重回古田召开全军政治工作会议。	二零一四年金秋在习主席亲自决策和领导下，人民军队重回古田召开全军政治工作会议。
2015年全国两会上习主席宣布，把军民融合发展上升为国家战略。	二零一五年全国两会上习主席宣布，把军民融合发展上升为国家战略。
政协第十三届全国委员会常务委员会第5次会议。	政协第十三届全国委员会常务委员会第五次会议。
研究部署2019年重点工作和重大政策举措。	研究部署二零一九年重点工作和重大政策举措。
来自国家航天局的消息，嫦娥4号着陆器已于今天上午7:52自主唤醒，按计划开始第3月昼后续工作。	来自国家航天局的消息，嫦娥四号着陆器已于今天上午七:五十二自主唤醒，按计划开始第三月昼后续工作。
此前玉兔二号月球车已于2月28号自主唤醒，目前行走正常。	此前玉兔二号月球车已于二月二十八号自主唤醒，目前行走正常。
为期40天的春运今天落幕，全国累计发送旅客近30亿人次，和去年基本持平。	为期四十天的春运今天落幕，全国累计发送旅客近三十亿人次，和去年基本持平。
据了解，去年8月非洲猪瘟疫情发生以来，公安部会同有关部门严打违法犯罪活动。	据了解，去年八月非洲猪瘟疫情发生以来，公安部会同有关部门严打违法犯罪活动。
截至目前各地破获涉非洲猪瘟刑事案件32起，查明涉案生猪1.5万多头。	截至目前各地破获涉非洲猪瘟刑事案件三十二起，查明涉案生猪一点五万多头。
2月28号美国著名的指数编制公司名胜宣布。	二月二十八号美国著名的指数编制公司名胜宣布。
其中铁路发送旅客4.1亿人次，增长7.4%，民航发送旅客7300万人次，增长12%。	其中铁路发送旅客四点一亿人次，增长百分之七点四，民航发送旅客七千三百万人次，增长百分之十二。
通过三步把中国A股纳入因子，从5%增加至20%。	通过三步把中国A股纳入因子，从百分之五增加至百分之二十。
巴基斯坦总理伊姆兰汉2月28号宣布为缓和同印度关系紧张状态。	巴基斯坦总理伊姆兰汉二月二十八号宣布为缓和同印度关系紧张状态。
我们党在中国这样一个有着近14亿人口的大国执政。	我们党在中国这样一个有着近十四亿人口的大国执政。
新中国成立70周年，是进行不忘初心，牢记使命教育的最好时间节点。	新中国成立七十周年，是进行不忘初心，牢记使命教育的最好时间节点。
全国政协十三届常委会第5次会议闭幕，汪洋主持并讲话。	全国政协十三届常委会第五次会议闭幕，汪洋主持并讲话。
今天是7月15号，星期一，农历6月13，欢迎收看新闻联播节目。	今天是七月十五号，星期一，农历六月十三，欢迎收看新闻联播节目。
总体平稳。6月份全国城镇调查失业率为5.1%，稳定在5%左右的水平。	总体平稳。六月份全国城镇调查失业率为百分之五点一，稳定在百分之五左右的水平。
从收入看，上半年全国居民人均可支配收入实际增长6.5%。	从收入看，上半年全国居民人均可支配收入实际增长百分之六点五。
1~6月份我国居民消费价格CPI延续了温和上涨的态势，工业生产者价格基本平稳。	一~六月份我国居民消费价格CPI延续了温和上涨的态势，工业生产者价格基本平稳。
上半年消费增长对经济增长的贡献率超过了60%。	上半年消费增长对经济增长的贡献率超过了百分之六十。
与此同时上半年社会领域高技术产业等投资都保持在10%以上，投资结构优化趋势明显。	与此同时上半年社会领域高技术产业等投资都保持在百分之十以上，投资结构优化趋势明显。
区域结构在优化。上半年中部地区规模以上工业增加值同比增长8.4%。	区域结构在优化。上半年中部地区规模以上工业增加值同比增长百分之八点四。
本台消息7月16号出版的第14期求是杂志。	本台消息七月十六号出版的第十四期求是杂志。
看经济结构，产业结构在优化，工业转型升级加快推进，上半年高技术制造业增加值同比增长9%。	看经济结构，产业结构在优化，工业转型升级加快推进，上半年高技术制造业增加值同比增长百分之九。
从上个世纪60年代组建至今，内蒙古大兴安岭森林消防支队其前中队的一代代消防队员们。	从上个世纪六十年代组建至今，内蒙古大兴安岭森林消防支队其前中队的一代代消防队员们。
1987年5月，大兴安岭地区发生新中国成立以来最严重的一次特大火灾。	一九八七年五月，大兴安岭地区发生新中国成立以来最严重的一次特大火灾。
2017年4月30号，边境大火突袭大兴安岭伊木河林场。	二零一七年四月三十号，边境大火突袭大兴安岭伊木河林场。
到2030年居民主要健康指标水平进入高收入国家行列，健康公平基本实现。	到二零三零年居民主要健康指标水平进入高收入国家行列，健康公平基本实现。
在荒无人烟的林海孤岛中默默坚守了57年。	在荒无人烟的林海孤岛中默默坚守了五十七年。
新中国成立之初一穷二白，70年来在中国共产党的领导下。	新中国成立之初一穷二白，七十年来在中国共产党的领导下。
为了填补大西南的铁路空白，1950年6月新生的共和国开始修建成渝铁路。	为了填补大西南的铁路空白，一九五零年六月新生的共和国开始修建成渝铁路。
当时17岁的西南军区军工筑路第一总队参谋孙姨孙参加了成渝铁路修建的全过程。	当时十七岁的西南军区军工筑路第一总队参谋孙姨孙参加了成渝铁路修建的全过程。
350米的头像大小钢梁就这么加起来了。	三百五十米的头像大小钢梁就这么加起来了。
在成渝铁路完工后的67年里，广袤的中华大地上纵横交错的铁路网在不断延展。	在成渝铁路完工后的六十七年里，广袤的中华大地上纵横交错的铁路网在不断延展。
2017年具有完全自主知识产权的中国标准动车组复兴号投入运营，标志着我国高铁技术装备开始领跑世界。	二零一七年具有完全自主知识产权的中国标准动车组复兴号投入运营，标志着我国高铁技术装备开始领跑世界。
2006年青藏铁路的开通成为世界屋脊发展的引擎，进入新时代交通强国，铁路先行。	二零零六年青藏铁路的开通成为世界屋脊发展的引擎，进入新时代交通强国，铁路先行。
1975年第一条电气化铁路，宝成铁路建成结束了蜀道难难于上青天的历史。	一九七五年第一条电气化铁路，宝成铁路建成结束了蜀道难难于上青天的历史。
经过3万多解放军和10万民工艰苦卓绝的奋斗，1952年6月13号成渝铁路竣工。	经过三万多解放军和十万民工艰苦卓绝的奋斗，一九五二年六月十三号成渝铁路竣工。
对新中国70年发生了怎样的变化？中国经济奇迹是如何创造的？	对新中国七十年发生了怎样的变化？中国经济奇迹是如何创造的？
中国道路为什么好，中国共产党为什么能等12个重大问题作出了深入浅出的解读阐释。	中国道路为什么好，中国共产党为什么能等十二个重大问题作出了深入浅出的解读阐释。
有助于广大干部群众深入理解新中国70年来的伟大历程，辉煌成就和宝贵经验。	有助于广大干部群众深入理解新中国七十年来的伟大历程，辉煌成就和宝贵经验。
今天是第5个世界青年技能日，人社部等6部门以技能扶贫为主题，开展了技能扶贫政策的全面宣传。	今天是第五个世界青年技能日，人社部等六部门以技能扶贫为主题，开展了技能扶贫政策的全面宣传。
部分地区甚至超过300毫米。水利部监测显示，入汛以来，全国377条河流发生超警以上洪水。	部分地区甚至超过三百毫米。水利部监测显示，入汛以来，全国三百七十七条河流发生超警以上洪水。
14号法国、英国和德国三国领导人发表联合声明，呼吁美国、伊朗等各方恢复对话。	十四号法国、英国和德国三国领导人发表联合声明，呼吁美国、伊朗等各方恢复对话。
据了解，2018年全国开展贫困劳动力培训200万人次，技工院校招收建档立卡贫困家庭子女6.42万人。	据了解，二零一八年全国开展贫困劳动力培训两百万人次，技工院校招收建档立卡贫困家庭子女六点四二万人。
按计划欧盟各国外长将于当地时间15号在布鲁塞尔举行会议，讨论伊朗核问题。	按计划欧盟各国外长将于当地时间十五号在布鲁塞尔举行会议，讨论伊朗核问题。
跳水女双10米台决赛，中国组合芦苇张佳琪夺得冠军。	跳水女双十米台决赛，中国组合芦苇张佳琪夺得冠军。
伊朗外长扎里夫14号说，如果欧洲想维护伊核协议，就应该履行承诺在伊朗进行投资。	伊朗外长扎里夫十四号说，如果欧洲想维护伊核协议，就应该履行承诺在伊朗进行投资。
2015年签署的伊核协议面临着失败风险，所有利益相关方都有必要停下来考虑自身行动可能产生的后果。	二零一五年签署的伊核协议面临着失败风险，所有利益相关方都有必要停下来考虑自身行动可能产生的后果。
俄军近几天派遣多架运输机向土耳其空运土方购买的s400防空导弹系统。	俄军近几天派遣多架运输机向土耳其空运土方购买的s四百防空导弹系统。
欧盟主导的伽利略卫星导航系统预定于2020年实现全部卫星组网。	欧盟主导的伽利略卫星导航系统预定于二零二零年实现全部卫星组网。
我们所要坚守的政治方向就是共产主义远大理想和中国特色社会主义共同理想，两个100年奋斗目标。	我们所要坚守的政治方向就是共产主义远大理想和中国特色社会主义共同理想，两个一百年奋斗目标。
在中央政治局第15次集体学习时的重要讲话结合起来。	在中央政治局第十五次集体学习时的重要讲话结合起来。
上半年我国国内生产总值同比增长6.3%，经济运行继续保持在合理区间。	上半年我国国内生产总值同比增长百分之六点三，经济运行继续保持在合理区间。
通知指出，2010年10月中共中央办公厅国务院办公厅印发的。	通知指出，二零一零年十月中共中央办公厅国务院办公厅印发的。
今年是新中国成立70周年，新闻联播推出系列报道新中国的第一，记录新中国砥砺前行的奋斗历程。	今年是新中国成立七十周年，新闻联播推出系列报道新中国的第一，记录新中国砥砺前行的奋斗历程。
本规定自2019年7月7号起施行。2010年10月12号中共中央办公厅国务院办公厅印发的。	本规定自二零一九年七月七号起施行。二零一零年十月十二号中共中央办公厅国务院办公厅印发的。
初步核算上半年国内生产总值450,933亿元，按可比价格计算同比增长6.3%。	初步核算上半年国内生产总值四百五十,九百三十三亿元，按可比价格计算同比增长百分之六点三。
6.3%是一个含金量比较高的速度。我们看到就业的情况还比较稳定。	百分之六点三是一个含金量比较高的速度。我们看到就业的情况还比较稳定。
看三大民生指标，从就业看，上半年全国城镇新增就业完成全年目标任务的67%。	看三大民生指标，从就业看，上半年全国城镇新增就业完成全年目标任务的百分之六十七。
意见指出，党中央国务院高度重视养老服务，按照2019年政府工作报告对养老服务工作的部署。	意见指出，党中央国务院高度重视养老服务，按照二零一九年政府工作报告对养老服务工作的部署。
确保到2022年在保障人人享有基本养老服务的基础上。	确保到二零二二年在保障人人享有基本养老服务的基础上。
意见提出了6个方面，共28条具体政策措施。一是深化放管服改革。	意见提出了六个方面，共二十八条具体政策措施。一是深化放管服改革。
主要包括建立养老服务综合监管制度等7项措施。二是拓展养老服务投融资渠道。	主要包括建立养老服务综合监管制度等七项措施。二是拓展养老服务投融资渠道。
主要包括建立健全长期照护服务体系等4项措施。	主要包括建立健全长期照护服务体系等四项措施。
五是促进养老服务高质量发展，主要包括提升医养，结合服务能力等6项措施。	五是促进养老服务高质量发展，主要包括提升医养，结合服务能力等六项措施。
虽然距离2019年中国国际进口博览会还有半年多，但目前已有1800多家企业报名参展。	虽然距离二零一九年中国国际进口博览会还有半年多，但目前已有一千八百多家企业报名参展。
主要包括实施特困人员供养、服务设施、敬老院改造提升工程等5项措施。	主要包括实施特困人员供养、服务设施、敬老院改造提升工程等五项措施。
2018年举办的首届进博会被打造成面向全球的开放型合作平台。	二零一八年举办的首届进博会被打造成面向全球的开放型合作平台。
这一年中国扩大进口额接近2万亿美元，在主动开放市场的同时。	这一年中国扩大进口额接近二万亿美元，在主动开放市场的同时。
中国也正在积极参与国际规则的制定。2018年中国出台扩大金融开放的11条措施。	中国也正在积极参与国际规则的制定。二零一八年中国出台扩大金融开放的十一条措施。
其中已签约企业数量超过900家，分别来自77个国家和地区。	其中已签约企业数量超过九百家，分别来自七十七个国家和地区。
公布最新版外商投资负面清单，清单长度由63条减至48条，中国4次降低关税。	公布最新版外商投资负面清单，清单长度由六十三条减至四十八条，中国四次降低关税。
一带一路倡议提出近6年来从主动开放市场参与规则制定到深度融入世界。	一带一路倡议提出近六年来从主动开放市场参与规则制定到深度融入世界。
其中有30多个共建一带一路国家。	其中有三十多个共建一带一路国家。
关税总水平从上一年的9.8%降至7.5%，全年新增外资企业6.9万家。	关税总水平从上一年的百分之九点八降至百分之七点五，全年新增外资企业六点九万家。
本台消息，国家主席习近平4月16号就法国巴黎圣母院发生火灾。	本台消息，国家主席习近平四月十六号就法国巴黎圣母院发生火灾。
与法国、德国、日本、新加坡等20多个发达国家和新兴经济体开展第三方市场合作。	与法国、德国、日本、新加坡等二十多个发达国家和新兴经济体开展第三方市场合作。
今年一季度，中国与共建一带一路国家外贸进出口总额达到2万亿美元，同比增长7.8%。	今年一季度，中国与共建一带一路国家外贸进出口总额达到二万亿美元，同比增长百分之七点八。
一大一路倡议提出近6年来，在全球贸易持续低迷的背景下。	一大一路倡议提出近六年来，在全球贸易持续低迷的背景下。
目前中国已与40多个共建一带一路国家建立了双边产能与投资合作机制。	目前中国已与四十多个共建一带一路国家建立了双边产能与投资合作机制。
一季度累计实现营业收入6.8万亿元，同比增长6.3%，有23家企业收入增幅超过20%。	一季度累计实现营业收入六点八万亿元，同比增长百分之六点三，有二十三家企业收入增幅超过百分之二十。
中国与共建一带一路国家货物贸易总额超过6万亿美元，呈持续增长态势。	中国与共建一带一路国家货物贸易总额超过六万亿美元，呈持续增长态势。
48家企业收入增幅超过11%季度央企累计实现利润总额4265亿元。	四十八家企业收入增幅超过百分之十一季度央企累计实现利润总额四千两百六十五亿元。
同比增长13.1%，有36家企业利润总额增幅超过20%。	同比增长百分之十三点一，有三十六家企业利润总额增幅超过百分之二十。
财政部最新数据显示，今年一季度全国一般公共预算收入和支出均超过5万亿元。	财政部最新数据显示，今年一季度全国一般公共预算收入和支出均超过五万亿元。
收入和支出同比分别增长6.2%和15%，其中税收收入增速明显放缓，同比增长5.4%。	收入和支出同比分别增长百分之六点二和百分之十五，其中税收收入增速明显放缓，同比增长百分之五点四。
回落了11.9个百分点。	回落了十一点九个百分点。
国内增值税同比增长10.7%，同比回落9.4个百分点。	国内增值税同比增长百分之十点七，同比回落九点四个百分点。
个人所得税同比下降29.7%，回落50.4个百分点。	个人所得税同比下降百分之二十九点七，回落五十点四个百分点。
目前11个试点城市均已实施药品集中采购和使用。	目前十一个试点城市均已实施药品集中采购和使用。
25个中选品种采购总金额为5.33亿元，约定采购量完成进度达27.31%。	二十五个中选品种采购总金额为五点三三亿元，约定采购量完成进度达百分之二十七点三一。
组成联盟，开展药品采购，集合11个城市公立医院的用量，实现量价挂钩，以量换价。	组成联盟，开展药品采购，集合十一个城市公立医院的用量，实现量价挂钩，以量换价。
已中选的乙肝抗病毒、仿制药、nt卡为分散片为例，价格由中选前的每盒248元下降到17.36元。	已中选的乙肝抗病毒、仿制药、nt卡为分散片为例，价格由中选前的每盒两百四十八元下降到十七点三六元。
河南郑州利用拆违拆旧，打造7000里绿道。	河南郑州利用拆违拆旧，打造七千里绿道。
很多人想象不到，就在两个多月前，这里还集中了60多家小散乱污企业，多个废品收购站。	很多人想象不到，就在两个多月前，这里还集中了六十多家小散乱污企业，多个废品收购站。
而在城区主干道中原西路两侧违建拆除后，腾出的土地也建成了两条50~120米宽的绿道。	而在城区主干道中原西路两侧违建拆除后，腾出的土地也建成了两条五十~一百二十米宽的绿道。
2012年开始，郑州依托绿道建设打造城区生态廊道，串联起公园绿地。	二零一二年开始，郑州依托绿道建设打造城区生态廊道，串联起公园绿地。
郑州生态廊道的植物品种应用已经达到了1000多种。	郑州生态廊道的植物品种应用已经达到了一零零零多种。
据鸟类动物学会统计，近几年郑州鸟类已经增加了20多种。	据鸟类动物学会统计，近几年郑州鸟类已经增加了二十多种。
串联起了市区146个公园和近2万公顷绿地。	串联起了市区一百四十六个公园和近二万公顷绿地。
目前郑州市绿道还有190个断点。	目前郑州市绿道还有一百九十个断点。
出生于1902年的贺光，20岁考入北洋军阀举办的洛阳讲武堂学习军事。	出生于一九零二年的贺光，二十岁考入北洋军阀举办的洛阳讲武堂学习军事。
这让国民党反动派惊恐不已。8月11号，带贺光前去改编诈降的国民党敌军时。	这让国民党反动派惊恐不已。八月十一号，带贺光前去改编诈降的国民党敌军时。
如今贺光家乡的人们正在按照2020年坚决打赢脱贫攻坚战的要求。	如今贺光家乡的人们正在按照二零二零年坚决打赢脱贫攻坚战的要求。
农业农村部今天发布2018年海峡两岸农产品贸易额已增至37.73亿美元。	农业农村部今天发布二零一八年海峡两岸农产品贸易额已增至三十七点七三亿美元。
相比2012年增长幅度超过60%。目前全国14个省区市共建立了29个。	相比二零一二年增长幅度超过百分之六十。目前全国十四个省区市共建立了二十九个。
早鹤腔实弹的晚底包围，他临危不惧与敌人英勇搏斗，牺牲时年仅29岁。	早鹤腔实弹的晚底包围，他临危不惧与敌人英勇搏斗，牺牲时年仅二十九岁。
国家统计局今天发布房价数据显示，3月份一二三线城市新建商品住宅销售价格。	国家统计局今天发布房价数据显示，三月份一二三线城市新建商品住宅销售价格。
同比涨幅微升，涨幅分别比上月扩大0.1个百分点，0.2个百分点和0.3个百分点。	同比涨幅微升，涨幅分别比上月扩大零点一个百分点，零点二个百分点和零点三个百分点。
今天发布的第16次全国国民阅读调查结果显示二，018年。	今天发布的第十六次全国国民阅读调查结果显示二，零一十八年。
以网络手机和电子阅读器等媒介为主要形式的数字化阅读接触率为76.2%。	以网络手机和电子阅读器等媒介为主要形式的数字化阅读接触率为百分之七十六点二。
比2017年上升了3.2个百分点。	比二零一七年上升了三点二个百分点。
俄罗斯外交部副部长格鲁什科15号向媒体表示。	俄罗斯外交部副部长格鲁什科十五号向媒体表示。
将来自100多个国家和地区的驻华使节代表，展示天津的文化底蕴与新时代发展机遇。	将来自一百多个国家和地区的驻华使节代表，展示天津的文化底蕴与新时代发展机遇。
较2017年的80.3%有所提升。	较二零一七年的百分之八十点三有所提升。
俄罗斯外交部副部长格鲁什科15号说。	俄罗斯外交部副部长格鲁什科十五号说。
我国成年国民的综合阅读率为80.8%。	我国成年国民的综合阅读率为百分之八十点八。
2018年北约军舰在黑海水域的累计逗留时间，由此前的每年最多80天增至120天。	二零一八年北约军舰在黑海水域的累计逗留时间，由此前的每年最多八十天增至一百二十天。
2011年福岛核事故中，1号到三号机组严重受损，但由于工作难度大，准备过程复杂。	二零一一年福岛核事故中，一号到三号机组严重受损，但由于工作难度大，准备过程复杂。
和燃料棒取出工作比原计划晚了4年多。	和燃料棒取出工作比原计划晚了四年多。
今天是4月16号，星期二，农历3月12，欢迎收看新闻联播节目。	今天是四月十六号，星期二，农历三月十二，欢迎收看新闻联播节目。
日本东京电力公司15号开始取出福岛第一核电站事故机组中的核燃料棒。	日本东京电力公司十五号开始取出福岛第一核电站事故机组中的核燃料棒。
有媒体称修复费用预计需要1亿5000万欧元。	有媒体称修复费用预计需要一亿五万欧元。
巴黎圣母院为哥特式建筑是建于1163年1345年完工。	巴黎圣母院为哥特式建筑是建于一千一百六十三年一千三百四十五年完工。
每年吸引游客大约1300万人次。	每年吸引游客大约一千三百万人次。
今年以来作为宏观调控的重要手段，财政政策加力提效，全年减税降费规模近2万亿元。	今年以来作为宏观调控的重要手段，财政政策加力提效，全年减税降费规模近二万亿元。
宏观政策有效释放稳定了市场稳定了预期。今年3月。	宏观政策有效释放稳定了市场稳定了预期。今年三月。
全国居民消费价格指数CPI同比上涨2.3%。	全国居民消费价格指数CPI同比上涨百分之二点三。
增幅0.4%，实现9个月以来的首次上扬。生产环节信心的恢复。	增幅百分之零点四，实现九个月以来的首次上扬。生产环节信心的恢复。
最新的中国制造业采购经理指数pmi在3月跨过了50%的临界点。	最新的中国制造业采购经理指数pmi在三月跨过了百分之五十的临界点。
重返扩张区间回升1.3个百分点，反弹至50.5%，走出6个月里的新高。	重返扩张区间回升一点三个百分点，反弹至百分之五十点五，走出六个月里的新高。
从2018年底布局来年经济大势的中央经济工作会议。	从二零一八年底布局来年经济大势的中央经济工作会议。
到初春时节，中共中央政治局第13次集体学习，中央定调高质量发展的长远决策。	到初春时节，中共中央政治局第十三次集体学习，中央定调高质量发展的长远决策。
将2019年全球经济增长预期下调至3.3%。	将二零一九年全球经济增长预期下调至百分之三点三。
同时将对中国经济增长的预期上调0.1个百分点至6.3%。	同时将对中国经济增长的预期上调零点一个百分点至百分之六点三。
全国人大常委会委员长栗战书16号在人民大会堂会见德国联邦议院副议长弗里德里希。	全国人大常委会委员长栗战书十六号在人民大会堂会见德国联邦议院副议长弗里德里希。
